image_name,logo_url,tags
centos,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-centos-logo.png,latest,7,8
busybox,https://raw.githubusercontent.com/docker-library/docs/cc5d5e47fd7e0c57c9b8de4c1bfb6258e0dac85d/busybox/logo.png,latest,unstable-musl,unstable,stable-musl,stable,musl,1.37.0-musl,1.37.0,1.37-musl,1.37,1.36.1-musl,1.36.1,1.36-musl,1.36,1-musl,1,unstable-uclibc,unstable-glibc,uclibc,stable-uclibc
ubuntu,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-ubuntu-logo.png,latest,22.04,20.04,18.04,jammy
scratch,https://avatars.githubusercontent.com/u/5429470
fedora,https://raw.githubusercontent.com/docker-library/docs/7925a7131128930eed07077f9369b7ca52e0fd02/fedora/logo.png,latest,rawhide,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26
registry,https://raw.githubusercontent.com/docker-library/docs/b09c592af0d6061629e02e4f674d22848f8236e8/registry/logo.png,latest,3.0.0,3.0,3,3.0.0-rc.4,3.0.0-rc.3,2.8,2,2.8.3,3.0.0-rc.2,3.0.0-rc.1,3.0.0-beta.1,3.0.0-alpha.1,2.8.2,2.8.2-beta.2,2.8.1,2.8.0,2.8.0-beta.1,2.7.1,2.7
hipache,https://avatars.githubusercontent.com/u/5429470,latest,0.3.1,0.2.8,0.2.4
docker-dev,https://raw.githubusercontent.com/docker-library/docs/b449be7df57e9ed9086bb5821bfb5d6cdc5d67a4/docker-dev/logo.png,1,1.9,1.9.1,1.9.0,v0.11,v0.11.1,v0.7.2,v0.9.1,v1.1,v1.2.0,v1.2,v1.0,v0.6.7,v0.8.0,1.3.1,1.4.1,v1.1.2,v1.0.1,v0.10.0,v0.7.6
debian,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-debian-logo.png,latest,bullseye,bookworm
cirros,https://raw.githubusercontent.com/docker-library/docs/b449be7df57e9ed9086bb5821bfb5d6cdc5d67a4/cirros/logo.png,latest,0.6.3,0.6,0,0.6.2,0.6.0,0.5.3,0.5,0.6.1,0.5.2,0.5.1,0.5.0,0.4.0,0.4,0.3.3,0.3.4,0.3.0
crux,https://avatars.githubusercontent.com/u/5429470,latest,3.4,3.2,3.1,3.0
ubuntu-upstart,https://raw.githubusercontent.com/docker-library/docs/9a6eb1db57c8882706a010edb9d340045029382a/ubuntu-upstart/logo.png,latest,utopic,14.10,trusty,14.04,precise,12.04,saucy,quantal,raring,12.10,13.10,13.04
buildpack-deps,https://raw.githubusercontent.com/docker-library/docs/01c12653951b2fe592c1f93a13b4e289ada0e3a1/buildpack-deps/logo.png,latest,unstable-scm,unstable-curl,unstable,trixie-scm,trixie,testing-scm,testing,stable-scm,stable-curl,stable,sid-scm,sid-curl,sid,scm,oldstable-scm,curl,bullseye-scm,bookworm-scm,bookworm-curl
nginx,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-nginx-logo.png,latest,alpine,1.25,1.24,stable,mainline
node,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-node-logo.png,latest,18,16,14,lts,alpine
mysql,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-mysql-logo.png,latest,8.0,5.7,8.0-debian
postgres,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-postgres-logo.png,latest,15,14,13,12,alpine
redis,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-redis-logo.png,latest,alpine,7,6,5,7-alpine
java,https://raw.githubusercontent.com/docker-library/docs/01c12653951b2fe592c1f93a13b4e289ada0e3a1/java/logo.png,6b38,6b38-jdk,openjdk-8u111-jre-alpine,8u111-jre-alpine,openjdk-8u111-alpine,openjdk-8u111-jdk-alpine,8u111-alpine,8u111-jdk-alpine,openjdk-7u121-jre-alpine,7u121-jre-alpine,openjdk-7u121-alpine,openjdk-7u121-jdk-alpine,7u121-alpine,7u121-jdk-alpine,openjdk-8u111-jre,8u111-jre,openjdk-8u111,openjdk-8u111-jdk,8u111,8u111-jdk
